LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID7041,7041,0,487,570.1889117,161.0041068,0,51,51,12.45057888,1,,255,255,255,255,124185,0,0.997265892,Infinity,-0.06053305,0.578077567,15.43465247,10.60352171,-0.501680728,1.455615681,487,110,0.505770454,0.91369606,4.984575799
ID7050,7050,0,572,490.9370629,202.1451049,0,48,48,13.4934523,1,,255,255,255,255,145860,0,1,Infinity,0.076363438,-0.089477362,15.56732031,12.14294835,0.187244967,1.282004984,572,120,0.499164166,0.906497623,5.01745206
ID7055,7055,0,330,626.6515152,130.0727273,0,53,53,10.24901275,1,,255,255,255,255,84150,0,0.723237598,Infinity,0.131951549,-0.010558256,13.83925454,7.647425551,2.799403422,1.809661885,330,88,0.535498748,0.930888575,4.844240567
ID6034,6034,0,363,492.6446281,276.4986226,0,4,4,10.74925526,1,,255,255,255,255,92565,0,1,Infinity,0.055403526,-0.028055759,13.45061643,8.768634848,-0.702308528,1.533946465,363,100,0.456159253,0.923664122,5.248638811
ID7060,7060,0,643,539.4027994,168.9688958,0,50,50,14.30640615,1,,255,255,255,255,163965,0,1,Infinity,-0.172256731,0.145488258,15.77845818,13.48706579,-0.819708791,1.169895545,643,124,0.525505743,0.91922802,4.890082642
ID6164,6164,0,219,292.6484018,292.8721461,0,17,17,8.349243383,1,,255,255,255,255,55845,0,1,Infinity,0.045008187,0.185700755,9.534325871,7.356464885,2.045531623,1.296047221,219,68,0.595163314,0.939914163,4.595014173
ID6036,6036,0,324,504.9753086,267.4197531,0,3,3,10.1554125,1,,255,255,255,255,82620,0,0.995893224,Infinity,0.040006779,-0.526067438,11.87201708,9.166268331,2.688241735,1.295185418,324,86,0.550500822,0.937771346,4.777777778
