LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2064,2064,1,327.0,334.0978593272171,9.63302752293578,0.0,6.0,6,10.2023199705802,1,,255.0,255.0,255.0,255.0,83385.0,0.0,0.6913793103448277,Infinity,0.09218305515391603,-1.1494101934579959,13.795731689849637,8.516856322087037,1.8755624121311198,1.6198150078066627,327.00000000000006,88.0,0.5306305773367058,0.9198312236286922,4.8664111197621125
ID2051,2051,1,184.0,308.25,89.08152173913044,0.0,1.0,1,7.653039857325812,1,,255.0,255.0,255.0,255.0,46920.0,0.0,0.9963833634719711,Infinity,-0.20100362599960195,0.20918223250619247,10.241127101478366,6.020848620996751,1.8697085489065959,1.7009441270062937,184.0,64.0,0.5645049299419159,0.9411764705882353,4.718142596956708
ID2116,2116,1,336.0,328.3511904761905,29.61904761904762,0.0,5.0,5,10.341765891652821,1,,255.0,255.0,255.0,255.0,85680.0,0.0,0.9421965317919074,Infinity,-0.2195734811420168,0.02588724469404549,11.240702306455365,9.776844752589886,3.032013777612373,1.1497269917759207,336.0,100.0,0.42223005264246816,0.8830486202365307,5.45544725589981
ID2101,2101,1,151.0,311.7682119205298,75.5364238410596,0.0,2.0,2,6.93287767191607,1,,255.0,255.0,255.0,255.0,38505.0,0.0,0.9738562091503268,Infinity,0.03752701793996859,-0.003569237540640981,9.432018227120436,5.18187519451467,1.7614426244742372,1.8201940172362314,151.0,62.0,0.49363214432056063,0.9041916167664672,5.0454884443811885
ID2023,2023,1,215.0,304.5302325581395,103.2046511627907,0.0,0.0,0,8.272643200907131,1,,255.0,255.0,255.0,255.0,54825.0,0.0,0.9907407407407407,Infinity,0.12939461546610684,-0.3163436322681471,12.19218990336015,5.755331582533484,1.7496763027041566,2.1184165896473295,215.0,76.0,0.46775790894861874,0.9052631578947369,5.183156979975599
ID2074,2074,1,145.0,317.28275862068966,59.689655172413794,0.0,3.0,3,6.793742230659745,1,,255.0,255.0,255.0,255.0,36975.0,0.0,1.0,Infinity,-0.2517328607117612,0.1387461873556939,8.083218671087504,6.138036113498348,2.044769005533604,1.316906339685986,145.0,58.0,0.5416539057913436,0.90625,4.8166378315169185
ID2030,2030,1,334.0,324.49101796407183,45.874251497005986,0.0,4.0,4,10.31094088749354,1,,254.23652694610777,255.0,0.0,255.0,84915.0,13.95297920669697,1.0141129032258065,18.348623636518866,0.15124106875778484,-0.009002443134690645,14.138554179084206,8.252110721681547,-0.5781862563872395,1.7133257969911446,333.99999999999994,118.0,0.3014340552424564,0.765177548682703,6.456672730942078
