,x,y,z,batid,frame
0,2.582989,-2.38354,1.326469,1,0
1,2.710954,-2.3092180000000004,1.315182,1,1
2,2.823578,-2.235308,1.300191,1,2
3,2.910485,-2.1458209999999998,1.279073,1,3
4,2.99205,-2.035642,1.2422460000000002,1,4
5,3.06098,-1.9312539999999998,1.227994,1,5
6,3.127967,-1.807021,1.19006,1,6
7,3.176254,-1.698202,1.1723180000000002,1,7
8,3.207503,-1.558276,1.125224,1,8
9,3.224802,-1.416002,1.0944660000000002,1,9
10,3.22206,-1.2812849999999998,1.0649760000000001,1,10
11,3.222608,-1.142831,1.047643,1,11
12,3.193591,-0.9900179999999998,1.022691,1,12
13,3.174955,-0.852311,0.997785,1,13
14,3.1310890000000002,-0.711544,0.9922690000000001,1,14
15,3.082471,-0.562943,0.972286,1,15
16,3.022517,-0.4163840000000001,0.9657640000000001,1,16
17,2.954545,-0.26903600000000005,0.969125,1,17
18,2.879656,-0.14588500000000004,0.996362,1,18
19,2.791238,-0.02642699999999998,1.020072,1,19
20,2.690847,0.08620800000000006,1.046458,1,20
21,2.572365,0.19873600000000002,1.071344,1,21
22,2.458232,0.28281900000000004,1.0980720000000002,1,22
23,2.331868,0.354221,1.131303,1,23
24,2.201898,0.414523,1.152453,1,24
25,2.068519,0.45248999999999995,1.1854010000000001,1,25
26,1.9317190000000002,0.48745400000000005,1.208542,1,26
27,1.801761,0.509804,1.2303540000000002,1,27
28,1.669962,0.508084,1.256487,1,28
29,1.532345,0.505932,1.266761,1,29
30,1.41085,0.47139,1.2929050000000002,1,30
31,1.282645,0.42170799999999997,1.314854,1,31
32,1.178924,0.36666200000000004,1.331149,1,32
33,1.076011,0.28854,1.3436590000000002,1,33
34,0.997609,0.19494299999999998,1.3569680000000002,1,34
35,0.9291340000000001,0.0868469999999999,1.36284,1,35
36,0.866471,-0.034359999999999946,1.3614480000000002,1,36
37,0.8211740000000001,-0.138231,1.343916,1,37
38,0.7877290000000001,-0.2782530000000001,1.328452,1,38
39,0.762094,-0.435357,1.301576,1,39
40,0.746975,-0.5609310000000001,1.271895,1,40
41,0.737878,-0.7128829999999999,1.234992,1,41
42,0.73597,-0.8838539999999999,1.214216,1,42
43,0.725155,-1.0032349999999999,1.189209,1,43
44,0.721786,-1.155438,1.171595,1,44
45,0.713279,-1.2911279999999998,1.1590980000000002,1,45
46,0.7082950000000001,-1.450251,1.166835,1,46
47,0.693835,-1.58964,1.180132,1,47
48,0.6887270000000001,-1.717137,1.195874,1,48
49,0.6897380000000002,-1.855144,1.221851,1,49
50,0.6918389999999999,-1.976402,1.2674470000000002,1,50
51,0.7132740000000002,-2.074117,1.305996,1,51
52,0.7268730000000001,-2.18098,1.3489119999999999,1,52
53,0.756751,-2.2816099999999997,1.402419,1,53
54,0.789917,-2.3914229999999996,1.4608880000000002,1,54
55,0.843343,-2.4689699999999997,1.5261300000000002,1,55
56,0.8898490000000001,-2.5444560000000003,1.5628440000000001,1,56
57,0.945209,-2.6458079999999997,1.632152,1,57
58,1.002377,-2.6451140000000004,1.667791,1,58
59,1.067363,-2.755267,1.72062,1,59
60,1.13371,-2.7851,1.764164,1,60
61,1.209223,-2.8471979999999997,1.802942,1,61
62,1.271263,-2.861516,1.8220480000000001,1,62
63,1.345408,-2.93593,1.859533,1,63
64,1.433227,-2.9528050000000006,1.8617270000000001,1,64
65,1.504882,-3.0069090000000003,1.874177,1,65
66,1.5778590000000001,-3.023592,1.879785,1,66
67,1.66961,-3.08064,1.8865100000000001,1,67
68,1.756573,-3.1411050000000005,1.886449,1,68
69,1.840203,-3.1202680000000003,1.880346,1,69
70,1.926955,-3.1687520000000005,1.875747,1,70
71,2.020464,-3.2728080000000004,1.8966450000000001,1,71
72,2.110521,-3.265563,1.880342,1,72
73,2.2063129999999997,-3.335293,1.886169,1,73
74,2.293008,-3.3498010000000003,1.889715,1,74
75,2.390029,-3.421012,1.9102160000000001,1,75
76,2.46411,-3.4116470000000003,1.907378,1,76
77,2.554851,-3.501594,1.937689,1,77
78,2.632357,-3.541055,1.953942,1,78
79,2.674247,-3.526661,1.9514390000000001,1,79
80,2.757476,-3.626442,2.01028,1,80
81,2.811353,-3.6571860000000003,2.0368440000000003,1,81
82,2.85763,-3.7361640000000005,2.100585,1,82
83,2.903331,-3.7475890000000005,2.124063,1,83
84,2.898114,-3.716768,2.1451219999999998,1,84
85,2.925759,-3.7827530000000005,2.180155,1,85
86,2.913196,-3.7284620000000004,2.181892,1,86
87,2.831243,-3.5451680000000003,2.122847,1,87
88,2.908481,-3.846627,2.279527,1,88
89,,,,1,89
90,,,,1,90
91,,,,1,91
92,,,,1,92
93,,,,1,93
94,,,,1,94
95,2.714045,-3.792357,2.1866130000000004,1,95
96,2.672575,-3.7138870000000006,2.107723,1,96
97,2.638601,-3.67762,2.0516750000000004,1,97
98,2.590231,-3.5966820000000004,1.972018,1,98
99,2.553824,-3.5414460000000005,1.9173440000000002,1,99
100,2.512313,-3.47839,1.8492060000000001,1,100
101,2.465793,-3.382626,1.766612,1,101
102,2.418014,-3.3329140000000006,1.696912,1,102
103,2.348291,-3.209575,1.614287,1,103
104,2.267741,-3.112031,1.547602,1,104
105,2.184563,-3.021681,1.468364,1,105
106,2.100117,-2.921927,1.399361,1,106
107,1.990252,-2.824464,1.3227600000000002,1,107
108,1.8867280000000002,-2.7261100000000003,1.2598850000000001,1,108
109,1.771556,-2.6371390000000003,1.207143,1,109
110,1.655161,-2.55574,1.163415,1,110
111,1.519308,-2.4318669999999996,1.124098,1,111
112,1.40017,-2.3456149999999996,1.101799,1,112
113,1.26447,-2.2394480000000003,1.085495,1,113
114,1.139235,-2.1176579999999996,1.078408,1,114
115,1.007073,-2.0060320000000003,1.0791840000000001,1,115
116,0.893152,-1.9111740000000002,1.091709,1,116
117,0.7758400000000001,-1.8013709999999998,1.094921,1,117
118,0.663926,-1.6956200000000001,1.117991,1,118
119,0.563688,-1.5784109999999998,1.133401,1,119
120,0.4648270000000001,-1.4670089999999998,1.147774,1,120
121,0.3749579999999999,-1.327376,1.170733,1,121
122,0.2978040000000002,-1.2014539999999998,1.1861130000000002,1,122
123,0.22924699999999998,-1.0753229999999998,1.2105480000000002,1,123
124,0.1678860000000002,-0.9591869999999998,1.250518,1,124
125,0.12155499999999986,-0.825647,1.269919,1,125
126,0.07769599999999999,-0.7164630000000001,1.318136,1,126
127,0.053925,-0.609774,1.36314,1,127
128,0.03699599999999981,-0.500696,1.419812,1,128
129,0.03292699999999993,-0.3959870000000001,1.46412,1,129
130,0.039699999999999847,-0.30564499999999994,1.5208940000000002,1,130
131,0.04730200000000018,-0.19859899999999997,1.565829,1,131
132,0.07243000000000022,-0.128123,1.623488,1,132
133,0.10677199999999987,-0.04943399999999998,1.666913,1,133
134,0.14930900000000014,0.00305500000000003,1.712359,1,134
135,0.204523,0.0703100000000001,1.736453,1,135
136,0.26285500000000006,0.11807299999999998,1.764901,1,136
137,0.33226200000000006,0.14120100000000002,1.7795290000000001,1,137
138,0.4123269999999999,0.168918,1.7759930000000002,1,138
139,0.4895140000000002,0.182442,1.767175,1,139
140,0.580295,0.18048600000000004,1.756408,1,140
141,0.6691020000000001,0.18321500000000002,1.724957,1,141
142,0.759355,0.14578199999999997,1.7102300000000001,1,142
143,0.854825,0.11997000000000002,1.664696,1,143
144,0.950378,0.07972599999999996,1.632747,1,144
145,1.041882,0.01568400000000003,1.600203,1,145
146,1.135165,-0.046588000000000074,1.547309,1,146
147,1.226535,-0.13382300000000003,1.512987,1,147
148,1.3120640000000001,-0.2208889999999999,1.465845,1,148
149,1.395998,-0.3115840000000001,1.421754,1,149
