,sweeps_dbspl,rec_num,recording_time
0,100.25051050136051,0,2021-04-22_14:57:04
1,100.25862630590133,0,2021-04-22_14:57:04
2,100.25747406315486,0,2021-04-22_14:57:04
3,100.251142601856,0,2021-04-22_14:57:04
4,100.25962410594722,0,2021-04-22_14:57:04
5,100.2129830161287,1,2021-04-22_14:58:24
6,100.221716778137,1,2021-04-22_14:58:24
7,100.22861577766973,1,2021-04-22_14:58:24
8,100.23381203995584,1,2021-04-22_14:58:24
9,100.22950895902156,1,2021-04-22_14:58:24
10,100.19546334602774,2,2021-04-22_14:58:54
11,100.1911097511132,2,2021-04-22_14:58:54
12,100.2056365051665,2,2021-04-22_14:58:54
13,100.1978789203045,2,2021-04-22_14:58:54
14,100.20523329364505,2,2021-04-22_14:58:54
15,100.18664631705843,3,2021-04-22_14:59:17
16,100.19668483320459,3,2021-04-22_14:59:17
17,100.19891377986475,3,2021-04-22_14:59:17
18,100.19962177478361,3,2021-04-22_14:59:17
19,100.1981253418551,3,2021-04-22_14:59:17
20,100.20830078408956,4,2021-04-22_14:59:39
21,100.2049739954591,4,2021-04-22_14:59:39
22,100.21254178326457,4,2021-04-22_14:59:39
23,100.20935050455952,4,2021-04-22_14:59:39
24,100.21585125639781,4,2021-04-22_14:59:39
25,100.18296777700591,5,2021-04-22_15:00:02
26,100.1879546366631,5,2021-04-22_15:00:02
27,100.19080630691647,5,2021-04-22_15:00:02
28,100.18669928668075,5,2021-04-22_15:00:02
29,100.18832312635456,5,2021-04-22_15:00:02
30,99.35336911108703,6,2021-04-22_16:06:49
31,99.36166259301976,6,2021-04-22_16:06:49
32,99.37577552960157,6,2021-04-22_16:06:49
33,99.39164807409679,6,2021-04-22_16:06:49
34,99.40203499020225,6,2021-04-22_16:06:49
35,99.40745397437254,7,2021-04-22_16:07:16
36,99.41542352696551,7,2021-04-22_16:07:16
37,99.423359529079,7,2021-04-22_16:07:16
38,99.4246560748611,7,2021-04-22_16:07:16
39,99.4142729449066,7,2021-04-22_16:07:16
40,101.92144441756612,8,2021-04-22_16:14:08
41,101.9330715285546,8,2021-04-22_16:14:08
42,101.93655757362845,8,2021-04-22_16:14:08
43,101.94758776898182,8,2021-04-22_16:14:08
44,101.94763010018505,8,2021-04-22_16:14:08
