,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11
channel1,0.0,1.2,NaN,1.2,3.615,3.463,3.201,3.343,2.96,NaN,2.027
channel2,1.2,0.0,NaN,2.078460969082653,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel3,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel4,1.2,2.078460969082653,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel5,3.615,NaN,NaN,NaN,NaN,1.113,NaN,NaN,3.255,3.549,4.18
channel6,3.463,NaN,NaN,NaN,1.113,NaN,1.186,NaN,3.127,3.057,4.074
channel7,3.201,NaN,NaN,NaN,NaN,1.186,NaN,NaN,2.117,2.044,3.25
channel8,3.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.374,NaN,2.821
channel9,2.96,NaN,NaN,NaN,3.255,3.127,2.117,1.374,NaN,NaN,1.708
channel10,NaN,NaN,NaN,NaN,3.549,3.057,2.044,NaN,NaN,NaN,NaN
channel11,2.027,NaN,NaN,NaN,4.18,4.074,3.25,2.821,1.708,NaN,NaN
