metres,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,NA,NA,NA,NA,NA,NA,NA,NA,3.573,NA,NA,NA,NA,NA,NA,NA,NA,3.292,3.3,4.098
1,NA,NA,NA,NA,NA,NA,NA,NA,3.532,NA,NA,NA,NA,NA,NA,NA,NA,3.327,3.238,4.129
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,3.176,NA,NA,NA,NA,NA,NA,NA,NA,2.195,2.338,3.323
4,NA,NA,NA,NA,NA,NA,NA,NA,3.172,NA,NA,NA,NA,NA,NA,NA,NA,2.256,2.269,3.38
5,NA,NA,NA,NA,NA,NA,NA,NA,3.146,NA,NA,NA,NA,NA,NA,NA,NA,2.405,2.251,3.481
6,NA,NA,NA,NA,NA,NA,NA,NA,3.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.687,2.893
7,NA,NA,NA,NA,NA,NA,NA,NA,3.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.509,2.901
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.175,3.306,3.28,3.163,3.096,2.795,2.19,1.588
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,1.426,2.962
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.756,2.751,3.724
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.837,2.71,3.756
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.631,1.833,3.03
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.726,1.713,3.078
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
