,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15,channel16,channel17
channel1,NaN,NaN,NaN,NaN,NaN,NaN,3.614,4.015,3.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel2,NaN,NaN,NaN,NaN,NaN,NaN,3.55,3.89,3.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel3,NaN,NaN,NaN,NaN,NaN,NaN,3.154,3.904,2.902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel4,NaN,NaN,NaN,NaN,NaN,NaN,3.119,3.82,2.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel5,NaN,NaN,NaN,NaN,NaN,NaN,3.09,3.686,2.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel6,NaN,NaN,NaN,NaN,NaN,NaN,3.351,4.322,2.764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel7,3.614,3.55,3.154,3.119,3.09,3.351,0.0,1.2,1.2,1.2,3.308,3.271,3.172,3.068,2.858,2.306,1.96
channel8,4.015,3.89,3.904,3.82,3.686,4.322,1.2,0.0,2.0784609690826525,2.078460969082653,3.838,3.733,4.024,3.826,3.956,3.264,NaN
channel9,3.708,3.59,2.902,2.817,2.62,2.764,1.2,2.0784609690826525,0.0,2.078460969082653,3.223,3.114,2.7,2.492,2.15,1.288,1.542
channel10,NaN,NaN,NaN,NaN,NaN,NaN,1.2,2.078460969082653,2.078460969082653,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel11,NaN,NaN,NaN,NaN,NaN,NaN,3.308,3.838,3.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel12,NaN,NaN,NaN,NaN,NaN,NaN,3.271,3.733,3.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel13,NaN,NaN,NaN,NaN,NaN,NaN,3.172,4.024,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel14,NaN,NaN,NaN,NaN,NaN,NaN,3.068,3.826,2.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel15,NaN,NaN,NaN,NaN,NaN,NaN,2.858,3.956,2.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel16,NaN,NaN,NaN,NaN,NaN,NaN,2.306,3.264,1.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel17,NaN,NaN,NaN,NaN,NaN,NaN,1.96,NaN,1.542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
